model,threshold,precision,recall,f1,accuracy,true_negative,false_positive,false_negative,true_positive,predicted_churn
Logistic Regression,0.048,0.9883689719960633,0.9996380418061714,0.9939715673924779,0.9880164550169916,1,130,4,11047,11177
Logistic Regression,0.049,0.9883689719960633,0.9996380418061714,0.9939715673924779,0.9880164550169916,1,130,4,11047,11177
Logistic Regression,0.05,0.9883689719960633,0.9996380418061714,0.9939715673924779,0.9880164550169916,1,130,4,11047,11177
Logistic Regression,0.051,0.9883689719960633,0.9996380418061714,0.9939715673924779,0.9880164550169916,1,130,4,11047,11177
Logistic Regression,0.052,0.9883689719960633,0.9996380418061714,0.9939715673924779,0.9880164550169916,1,130,4,11047,11177
Logistic Regression,0.053,0.9883679312813171,0.9995475522577142,0.9939263058442435,0.9879270255768199,1,130,5,11046,11176
Logistic Regression,0.054,0.9883679312813171,0.9995475522577142,0.9939263058442435,0.9879270255768199,1,130,5,11046,11176
Logistic Regression,0.055,0.9883668903803132,0.999457062709257,0.993881040223162,0.9878375961366482,1,130,6,11045,11175
Logistic Regression,0.056,0.9883668903803132,0.999457062709257,0.993881040223162,0.9878375961366482,1,130,6,11045,11175
Logistic Regression,0.057,0.9883668903803132,0.999457062709257,0.993881040223162,0.9878375961366482,1,130,6,11045,11175
Logistic Regression,0.058,0.9883668903803132,0.999457062709257,0.993881040223162,0.9878375961366482,1,130,6,11045,11175
Logistic Regression,0.059,0.9883668903803132,0.999457062709257,0.993881040223162,0.9878375961366482,1,130,6,11045,11175
Logistic Regression,0.06,0.9883668903803132,0.999457062709257,0.993881040223162,0.9878375961366482,1,130,6,11045,11175
Logistic Regression,0.061,0.9883658492930016,0.9993665731607999,0.9938357705286839,0.9877481666964765,1,130,7,11044,11174
Logistic Regression,0.062,0.9883658492930016,0.9993665731607999,0.9938357705286839,0.9877481666964765,1,130,7,11044,11174
Logistic Regression,0.063,0.9883658492930016,0.9993665731607999,0.9938357705286839,0.9877481666964765,1,130,7,11044,11174
Logistic Regression,0.064,0.9884543094961067,0.9993665731607999,0.9938804895608351,0.9878375961366482,2,129,7,11044,11173
Logistic Regression,0.065,0.9884543094961067,0.9993665731607999,0.9938804895608351,0.9878375961366482,2,129,7,11044,11173
Logistic Regression,0.066,0.9884543094961067,0.9993665731607999,0.9938804895608351,0.9878375961366482,2,129,7,11044,11173
Logistic Regression,0.067,0.9885427855352668,0.9993665731607999,0.9939252126175584,0.9879270255768199,3,128,7,11044,11172
Logistic Regression,0.068,0.9885427855352668,0.9993665731607999,0.9939252126175584,0.9879270255768199,3,128,7,11044,11172
Logistic Regression,0.069,0.9885427855352668,0.9993665731607999,0.9939252126175584,0.9879270255768199,3,128,7,11044,11172
Logistic Regression,0.07,0.9885407341092212,0.9991855940638856,0.9938346609063499,0.9877481666964765,3,128,9,11042,11170
Logistic Regression,0.071,0.9885407341092212,0.9991855940638856,0.9938346609063499,0.9877481666964765,3,128,9,11042,11170
Logistic Regression,0.072,0.9885407341092212,0.9991855940638856,0.9938346609063499,0.9877481666964765,3,128,9,11042,11170
Logistic Regression,0.073,0.9885397081206913,0.9990951045154285,0.9937893789378938,0.9876587372563048,3,128,10,11041,11169
Logistic Regression,0.074,0.9885397081206913,0.9990951045154285,0.9937893789378938,0.9876587372563048,3,128,10,11041,11169
Logistic Regression,0.075,0.9885397081206913,0.9990951045154285,0.9937893789378938,0.9876587372563048,3,128,10,11041,11169
Logistic Regression,0.076,0.9885397081206913,0.9990951045154285,0.9937893789378938,0.9876587372563048,3,128,10,11041,11169
Logistic Regression,0.077,0.9885397081206913,0.9990951045154285,0.9937893789378938,0.9876587372563048,3,128,10,11041,11169
Logistic Regression,0.078,0.9885397081206913,0.9990951045154285,0.9937893789378938,0.9876587372563048,3,128,10,11041,11169
Logistic Regression,0.079,0.9885397081206913,0.9990951045154285,0.9937893789378938,0.9876587372563048,3,128,10,11041,11169
Logistic Regression,0.08,0.9885397081206913,0.9990951045154285,0.9937893789378938,0.9876587372563048,3,128,10,11041,11169
Logistic Regression,0.081,0.9885397081206913,0.9990951045154285,0.9937893789378938,0.9876587372563048,3,128,10,11041,11169
Logistic Regression,0.082,0.9885397081206913,0.9990951045154285,0.9937893789378938,0.9876587372563048,3,128,10,11041,11169
Logistic Regression,0.083,0.9885397081206913,0.9990951045154285,0.9937893789378938,0.9876587372563048,3,128,10,11041,11169
Logistic Regression,0.084,0.9885397081206913,0.9990951045154285,0.9937893789378938,0.9876587372563048,3,128,10,11041,11169
Logistic Regression,0.085,0.9885397081206913,0.9990951045154285,0.9937893789378938,0.9876587372563048,3,128,10,11041,11169
Logistic Regression,0.086,0.9885397081206913,0.9990951045154285,0.9937893789378938,0.9876587372563048,3,128,10,11041,11169
Logistic Regression,0.087,0.9885397081206913,0.9990951045154285,0.9937893789378938,0.9876587372563048,3,128,10,11041,11169
Logistic Regression,0.088,0.9885397081206913,0.9990951045154285,0.9937893789378938,0.9876587372563048,3,128,10,11041,11169
Logistic Regression,0.089,0.9885397081206913,0.9990951045154285,0.9937893789378938,0.9876587372563048,3,128,10,11041,11169
Logistic Regression,0.09,0.9885397081206913,0.9990951045154285,0.9937893789378938,0.9876587372563048,3,128,10,11041,11169
Logistic Regression,0.091,0.9885397081206913,0.9990951045154285,0.9937893789378938,0.9876587372563048,3,128,10,11041,11169
Logistic Regression,0.092,0.9885397081206913,0.9990951045154285,0.9937893789378938,0.9876587372563048,3,128,10,11041,11169
Logistic Regression,0.093,0.9885397081206913,0.9990951045154285,0.9937893789378938,0.9876587372563048,3,128,10,11041,11169
Logistic Regression,0.094,0.9885397081206913,0.9990951045154285,0.9937893789378938,0.9876587372563048,3,128,10,11041,11169
Logistic Regression,0.095,0.9885397081206913,0.9990951045154285,0.9937893789378938,0.9876587372563048,3,128,10,11041,11169
Logistic Regression,0.096,0.9885397081206913,0.9990951045154285,0.9937893789378938,0.9876587372563048,3,128,10,11041,11169
Logistic Regression,0.097,0.9885397081206913,0.9990951045154285,0.9937893789378938,0.9876587372563048,3,128,10,11041,11169
Logistic Regression,0.098,0.9885397081206913,0.9990951045154285,0.9937893789378938,0.9876587372563048,3,128,10,11041,11169
Logistic Regression,0.099,0.9885397081206913,0.9990951045154285,0.9937893789378938,0.9876587372563048,3,128,10,11041,11169
Logistic Regression,0.1,0.9885397081206913,0.9990951045154285,0.9937893789378938,0.9876587372563048,3,128,10,11041,11169
Logistic Regression,0.101,0.9885386819484241,0.9990046149669713,0.9937440928934695,0.9875693078161331,3,128,11,11040,11168
Logistic Regression,0.102,0.9885386819484241,0.9990046149669713,0.9937440928934695,0.9875693078161331,3,128,11,11040,11168
Logistic Regression,0.103,0.9885386819484241,0.9990046149669713,0.9937440928934695,0.9875693078161331,3,128,11,11040,11168
Logistic Regression,0.104,0.9885376555923704,0.9989141254185142,0.9936988027725268,0.9874798783759614,3,128,12,11039,11167
Logistic Regression,0.105,0.9885376555923704,0.9989141254185142,0.9936988027725268,0.9874798783759614,3,128,12,11039,11167
Logistic Regression,0.106,0.9885376555923704,0.9989141254185142,0.9936988027725268,0.9874798783759614,3,128,12,11039,11167
Logistic Regression,0.107,0.9885376555923704,0.9989141254185142,0.9936988027725268,0.9874798783759614,3,128,12,11039,11167
Logistic Regression,0.108,0.9885376555923704,0.9989141254185142,0.9936988027725268,0.9874798783759614,3,128,12,11039,11167
Logistic Regression,0.109,0.9885376555923704,0.9989141254185142,0.9936988027725268,0.9874798783759614,3,128,12,11039,11167
Logistic Regression,0.11,0.9885376555923704,0.9989141254185142,0.9936988027725268,0.9874798783759614,3,128,12,11039,11167
Logistic Regression,0.111,0.9885366290524807,0.998823635870057,0.9936535085745151,0.9873904489357896,3,128,13,11038,11166
Logistic Regression,0.112,0.9885366290524807,0.998823635870057,0.9936535085745151,0.9873904489357896,3,128,13,11038,11166
Logistic Regression,0.113,0.9885366290524807,0.998823635870057,0.9936535085745151,0.9873904489357896,3,128,13,11038,11166
Logistic Regression,0.114,0.9885366290524807,0.998823635870057,0.9936535085745151,0.9873904489357896,3,128,13,11038,11166
Logistic Regression,0.115,0.9885366290524807,0.998823635870057,0.9936535085745151,0.9873904489357896,3,128,13,11038,11166
Logistic Regression,0.116,0.9885356023287057,0.9987331463215998,0.9936082102988837,0.987301019495618,3,128,14,11037,11165
Logistic Regression,0.117,0.9885356023287057,0.9987331463215998,0.9936082102988837,0.987301019495618,3,128,14,11037,11165
